PacketID,LatencyCycles
0,110
1,3
2,2
3,2
4,1
5,45
6,1
7,2
8,2
9,1
10,2
11,1
12,4
13,1
14,1
15,1
16,1
17,2
18,2
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,2
29,1
30,1
31,1
32,2
33,2
34,1
35,1
36,1
37,2
38,1
39,15
40,7
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,7
56,6
57,9
58,6
59,7
60,6
61,6
62,6
63,6
64,8
65,9
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,5
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,6
83,6
84,6
85,6
86,6
87,6
88,6
89,6
90,7
91,6
92,8
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,6
104,8
105,6
106,6
107,6
108,6
109,6
110,6
111,6
112,6
113,6
114,6
115,6
116,6
117,6
118,6
119,6
120,8
121,5
122,6
123,6
124,8
125,6
126,6
127,5
128,9
129,10
130,8
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,6
139,6
140,6
141,8
142,6
143,6
144,6
145,6
146,6
147,6
148,6
149,6
150,6
151,5
152,6
153,6
154,9
155,7
156,6
157,6
158,6
159,6
160,6
161,6
162,6
163,6
164,6
165,6
166,5
167,7
168,6
169,6
170,6
171,5
172,6
173,6
174,6
175,6
176,6
177,6
178,6
179,6
180,6
181,6
182,5
183,6
184,6
185,5
186,6
187,6
188,6
189,6
190,5
191,6
192,6
193,6
194,6
195,6
196,6
197,6
198,6
199,8
200,6
201,6
202,5
203,6
204,5
205,5
206,5
207,6
208,6
209,5
210,5
211,6
212,6
213,6
214,6
215,6
216,5
217,6
218,6
219,6
220,5
221,6
222,6
223,6
224,6
225,6
226,6
227,6
228,6
229,6
230,6
231,6
232,6
233,6
234,6
235,6
236,6
237,6
238,6
239,5
240,6
241,6
242,6
243,5
244,6
245,6
246,6
247,6
248,6
249,6
250,6
251,6
252,6
253,6
254,6
255,6
256,10
257,10
258,6
259,6
260,6
261,6
262,6
263,6
264,6
265,6
266,6
267,6
268,42
269,20
270,6
271,6
272,6
273,6
274,6
275,6
276,6
277,6
278,5
279,6
280,6
281,6
282,6
283,7
284,5
285,6
286,6
287,6
288,6
289,6
290,6
291,6
292,6
293,6
294,6
295,6
296,6
297,6
298,6
299,5
300,6
301,6
302,6
303,5
304,6
305,6
306,6
307,6
308,6
309,6
310,6
311,6
312,6
313,6
314,6
315,6
316,6
317,6
318,5
319,6
320,6
321,6
322,6
323,6
324,6
325,8
326,6
327,6
328,6
329,6
330,6
331,6
332,6
333,6
334,6
335,6
336,6
337,6
338,5
339,6
340,6
341,5
342,6
